21-May-20 23:14:09 - Verifier time taken is: 0.9917000000001508 ms
21-May-20 23:14:09 - Prover time taken is: 2.1947000000039907 ms
21-May-20 23:14:09 - Total time taken is: 3.1864000000041415 ms
21-May-20 23:14:11 - Verifier time taken is: 1.0809000000051583 ms
21-May-20 23:14:11 - Prover time taken is: 1.791499999995949 ms
21-May-20 23:14:11 - Total time taken is: 2.8724000000011074 ms
21-May-20 23:14:13 - Verifier time taken is: 0.7961999999963609 ms
21-May-20 23:14:13 - Prover time taken is: 2.1415999999874202 ms
21-May-20 23:14:13 - Total time taken is: 2.937799999983781 ms
21-May-20 23:14:15 - Verifier time taken is: 0.9751999999991767 ms
21-May-20 23:14:15 - Prover time taken is: 2.418299999987994 ms
21-May-20 23:14:15 - Total time taken is: 3.3934999999871707 ms
21-May-20 23:14:18 - Verifier time taken is: 0.5818000000203938 ms
21-May-20 23:14:18 - Prover time taken is: 1.713399999999865 ms
21-May-20 23:14:18 - Total time taken is: 2.295200000020259 ms
21-May-20 23:14:20 - Verifier time taken is: 0.8587000000090939 ms
21-May-20 23:14:20 - Prover time taken is: 1.6869000000099277 ms
21-May-20 23:14:20 - Total time taken is: 2.5456000000190215 ms
21-May-20 23:14:22 - Verifier time taken is: 0.42810000002191373 ms
21-May-20 23:14:22 - Prover time taken is: 2.162099999992506 ms
21-May-20 23:14:22 - Total time taken is: 2.59020000001442 ms
21-May-20 23:14:24 - Verifier time taken is: 0.42719999999007996 ms
21-May-20 23:14:24 - Prover time taken is: 1.6810000000191394 ms
21-May-20 23:14:24 - Total time taken is: 2.1082000000092194 ms
21-May-20 23:14:26 - Verifier time taken is: 0.876000000005206 ms
21-May-20 23:14:26 - Prover time taken is: 2.164700000008679 ms
21-May-20 23:14:26 - Total time taken is: 3.040700000013885 ms
21-May-20 23:14:28 - Verifier time taken is: 0.686999999999216 ms
21-May-20 23:14:28 - Prover time taken is: 1.6397999999924195 ms
21-May-20 23:14:28 - Total time taken is: 2.3267999999916356 ms
21-May-20 23:14:30 - Verifier time taken is: 0.775000000004411 ms
21-May-20 23:14:30 - Prover time taken is: 1.779799999980014 ms
21-May-20 23:14:30 - Total time taken is: 2.554799999984425 ms
21-May-20 23:14:32 - Verifier time taken is: 0.5436000000145214 ms
21-May-20 23:14:32 - Prover time taken is: 1.799599999998236 ms
21-May-20 23:14:32 - Total time taken is: 2.3432000000127573 ms
21-May-20 23:14:34 - Verifier time taken is: 0.4392000000166263 ms
21-May-20 23:14:34 - Prover time taken is: 1.7406999999991513 ms
21-May-20 23:14:34 - Total time taken is: 2.1799000000157776 ms
21-May-20 23:14:36 - Verifier time taken is: 1.0263000000065858 ms
21-May-20 23:14:36 - Prover time taken is: 2.308400000003985 ms
21-May-20 23:14:36 - Total time taken is: 3.334700000010571 ms
21-May-20 23:14:38 - Verifier time taken is: 1.3758999999993193 ms
21-May-20 23:14:38 - Prover time taken is: 3.1429999999943448 ms
21-May-20 23:14:38 - Total time taken is: 4.518899999993664 ms
21-May-20 23:14:40 - Verifier time taken is: 0.42469999999639185 ms
21-May-20 23:14:40 - Prover time taken is: 1.6468999999972311 ms
21-May-20 23:14:40 - Total time taken is: 2.071599999993623 ms
21-May-20 23:14:42 - Verifier time taken is: 0.6061999999928958 ms
21-May-20 23:14:42 - Prover time taken is: 1.7531000000019503 ms
21-May-20 23:14:42 - Total time taken is: 2.359299999994846 ms
21-May-20 23:14:44 - Verifier time taken is: 0.42990000000031614 ms
21-May-20 23:14:44 - Prover time taken is: 1.7556999999897016 ms
21-May-20 23:14:44 - Total time taken is: 2.1855999999900177 ms
21-May-20 23:14:46 - Verifier time taken is: 0.5395000000021355 ms
21-May-20 23:14:46 - Prover time taken is: 1.8676999999911459 ms
21-May-20 23:14:46 - Total time taken is: 2.4071999999932814 ms
21-May-20 23:14:48 - Verifier time taken is: 0.8774000000073556 ms
21-May-20 23:14:48 - Prover time taken is: 3.0761999999810996 ms
21-May-20 23:14:48 - Total time taken is: 3.9535999999884552 ms
21-May-20 23:14:50 - Verifier time taken is: 0.5412000000148964 ms
21-May-20 23:14:50 - Prover time taken is: 1.6977999999880922 ms
21-May-20 23:14:50 - Total time taken is: 2.2390000000029886 ms
21-May-20 23:14:52 - Verifier time taken is: 0.755999999995538 ms
21-May-20 23:14:52 - Prover time taken is: 1.8344000000070082 ms
21-May-20 23:14:52 - Total time taken is: 2.590400000002546 ms
21-May-20 23:14:54 - Verifier time taken is: 1.2420999999847027 ms
21-May-20 23:14:54 - Prover time taken is: 2.5636000000019976 ms
21-May-20 23:14:54 - Total time taken is: 3.8056999999867003 ms
21-May-20 23:14:56 - Verifier time taken is: 0.8363000000031207 ms
21-May-20 23:14:56 - Prover time taken is: 1.8219999999757874 ms
21-May-20 23:14:56 - Total time taken is: 2.658299999978908 ms
21-May-20 23:14:58 - Verifier time taken is: 0.7108000000073389 ms
21-May-20 23:14:58 - Prover time taken is: 2.255800000000363 ms
21-May-20 23:14:58 - Total time taken is: 2.966600000007702 ms
21-May-20 23:15:00 - Verifier time taken is: 0.5385000000046603 ms
21-May-20 23:15:00 - Prover time taken is: 2.1954000000050655 ms
21-May-20 23:15:00 - Total time taken is: 2.7339000000097258 ms
21-May-20 23:15:02 - Verifier time taken is: 1.1305000000163545 ms
21-May-20 23:15:02 - Prover time taken is: 3.85510000000977 ms
21-May-20 23:15:02 - Total time taken is: 4.985600000026125 ms
21-May-20 23:15:04 - Verifier time taken is: 0.84730000000377 ms
21-May-20 23:15:04 - Prover time taken is: 2.268200000003162 ms
21-May-20 23:15:04 - Total time taken is: 3.115500000006932 ms
21-May-20 23:15:06 - Verifier time taken is: 0.46609999998281637 ms
21-May-20 23:15:06 - Prover time taken is: 2.386400000006006 ms
21-May-20 23:15:06 - Total time taken is: 2.8524999999888223 ms
21-May-20 23:15:08 - Verifier time taken is: 0.8307999999885851 ms
21-May-20 23:15:08 - Prover time taken is: 3.2774000000017622 ms
21-May-20 23:15:08 - Total time taken is: 4.108199999990347 ms
21-May-20 23:15:10 - Verifier time taken is: 1.024100000023509 ms
21-May-20 23:15:10 - Prover time taken is: 2.7105000000062773 ms
21-May-20 23:15:10 - Total time taken is: 3.7346000000297863 ms
21-May-20 23:15:12 - Verifier time taken is: 0.7638999999812768 ms
21-May-20 23:15:12 - Prover time taken is: 2.5208000000134234 ms
21-May-20 23:15:12 - Total time taken is: 3.2846999999947 ms
21-May-20 23:15:14 - Verifier time taken is: 0.6572000000062417 ms
21-May-20 23:15:14 - Prover time taken is: 1.7919000000006235 ms
21-May-20 23:15:14 - Total time taken is: 2.4491000000068652 ms
21-May-20 23:15:16 - Verifier time taken is: 1.6731999999990421 ms
21-May-20 23:15:16 - Prover time taken is: 5.436300000013716 ms
21-May-20 23:15:16 - Total time taken is: 7.109500000012758 ms
21-May-20 23:15:18 - Verifier time taken is: 0.8228000000087832 ms
21-May-20 23:15:18 - Prover time taken is: 1.6975000000059026 ms
21-May-20 23:15:18 - Total time taken is: 2.520300000014686 ms
21-May-20 23:15:20 - Verifier time taken is: 0.9699000000011893 ms
21-May-20 23:15:20 - Prover time taken is: 2.9719000000056894 ms
21-May-20 23:15:20 - Total time taken is: 3.9418000000068787 ms
21-May-20 23:15:22 - Verifier time taken is: 0.7272000000000389 ms
21-May-20 23:15:22 - Prover time taken is: 1.7842999999970743 ms
21-May-20 23:15:22 - Total time taken is: 2.5114999999971133 ms
21-May-20 23:15:24 - Verifier time taken is: 0.46249999999758984 ms
21-May-20 23:15:24 - Prover time taken is: 2.068199999996523 ms
21-May-20 23:15:24 - Total time taken is: 2.5306999999941127 ms
21-May-20 23:15:26 - Verifier time taken is: 0.7127000000082262 ms
21-May-20 23:15:26 - Prover time taken is: 1.813599999991311 ms
21-May-20 23:15:26 - Total time taken is: 2.5262999999995372 ms
21-May-20 23:15:28 - Verifier time taken is: 0.621300000005931 ms
21-May-20 23:15:28 - Prover time taken is: 1.5617999999903986 ms
21-May-20 23:15:28 - Total time taken is: 2.1830999999963296 ms
21-May-20 23:15:30 - Verifier time taken is: 0.7085999999958403 ms
21-May-20 23:15:30 - Prover time taken is: 1.600699999983135 ms
21-May-20 23:15:30 - Total time taken is: 2.3092999999789754 ms
21-May-20 23:15:32 - Verifier time taken is: 0.4730999999935648 ms
21-May-20 23:15:32 - Prover time taken is: 1.819999999980837 ms
21-May-20 23:15:32 - Total time taken is: 2.2930999999744017 ms
21-May-20 23:15:34 - Verifier time taken is: 0.6143000000236043 ms
21-May-20 23:15:34 - Prover time taken is: 1.6540000000020427 ms
21-May-20 23:15:34 - Total time taken is: 2.268300000025647 ms
21-May-20 23:15:36 - Verifier time taken is: 1.0463999999785756 ms
21-May-20 23:15:36 - Prover time taken is: 1.5707000000020344 ms
21-May-20 23:15:36 - Total time taken is: 2.61709999998061 ms
21-May-20 23:15:38 - Verifier time taken is: 0.8255999999846608 ms
21-May-20 23:15:38 - Prover time taken is: 3.043599999983826 ms
21-May-20 23:15:38 - Total time taken is: 3.8691999999684867 ms
21-May-20 23:15:40 - Verifier time taken is: 0.45350000002031265 ms
21-May-20 23:15:40 - Prover time taken is: 1.7414999999800784 ms
21-May-20 23:15:40 - Total time taken is: 2.195000000000391 ms
21-May-20 23:15:42 - Verifier time taken is: 0.7380000000125619 ms
21-May-20 23:15:42 - Prover time taken is: 1.7634999999813772 ms
21-May-20 23:15:42 - Total time taken is: 2.501499999993939 ms
21-May-20 23:15:44 - Verifier time taken is: 0.89309999998477 ms
21-May-20 23:15:44 - Prover time taken is: 2.129199999984621 ms
21-May-20 23:15:44 - Total time taken is: 3.022299999969391 ms
21-May-20 23:15:47 - Verifier time taken is: 0.7065000000068267 ms
21-May-20 23:15:47 - Prover time taken is: 2.02319999999645 ms
21-May-20 23:15:47 - Total time taken is: 2.7297000000032767 ms
